model,label,training_last64_dfm_ce,training_last64_total_loss,training_last64_accuracy,validation_dfm_ce,validation_accuracy,validation_first_legal_mass,arena_bt_elo_vs_hero,arena_bt_elo_lower_95,arena_bt_elo_upper_95,direct_score_vs_hero,eight_pass_score_vs_one_pass,train_wall_minutes,checkpoint_sha256
hero,Hero-1024,5.7025133818387985,7.449589028954506,0.07349827699363232,5.7062988094985485,0.0724334716796875,0.5542044038884342,0.0,0.0,0.0,0.5,,68.65023811401721,05068c96b2bac8f10a3f3b853363bdb2ce49f935b026566705b3bdcd4d9060c9
all_heads,All-horizon heads,6.099357232451439,8.042768627405167,0.05106524855364114,6.068927679210901,0.055755615234375,0.5185148427262902,-297.867685342547,-320.4843251355368,-276.29696093426844,0.14453125,0.466796875,72.64799702896659,a8e4f6124bb94d3b9671de4a06655f74a678ab91d127c657fa33bc1159cbdc1e
jepa_fusion,Normalized JEPA fusion,5.738512240350246,7.514622367918491,0.07187891332432628,5.738622035831213,0.07098388671875,0.5386125417426229,-3.450024298632719,-23.42952817370408,15.544057437775807,0.498046875,0.40234375,68.63830754963274,eddce082ff10866c382afc66ea2327b13eae60602eee8d0ab93851b0d1e39d51
current_wdl,Current-state WDL,5.704891636967659,7.472874082624912,0.07373534212820232,5.708620749413967,0.07305908203125,0.5536886039189994,3.2087585914077357,-14.061052668471495,19.08115081332359,0.51171875,0.392578125,68.58337685468335,16640d2e02609245c862a074951f68adedec871a3872d86bdf49b1d5fafb7d12
closed_loop,Predicted-JEPA closed loop,5.721774026751518,7.47121225297451,0.0722810787265189,5.712073314934969,0.0728607177734375,0.547693854663521,-41.18838782500712,-57.19675012312107,-26.063264622541432,0.455078125,0.55078125,71.60663634833278,90a3429d6d17b6df4563b4babf589fb200dc8f59254316ab857f954bff717ea2
policy_prelogit,Policy-prelogit,5.725902266800404,7.554054871201515,0.07300407573347911,5.757909022271633,0.0700225830078125,0.5159421125426888,4.444328438327908,-13.687936746617847,22.564891854159765,0.490234375,0.330078125,69.18803584331665,51e822ccdb5ade6bbe8f7e1c92d851ea3fe45dce89b01d200e2ab4918b2a0040
