model,train_dfm_ce_trailing64,val_dfm_ce,val_accuracy,val_legal_mass,p1_score_vs_hero,p8_score_vs_own_p1
hero,5.7025133818387985,5.7062988094985485,0.0724334716796875,0.5542044038884342,0.5,
current_wdl,5.704891636967659,5.708620749413967,0.07305908203125,0.5536886039189994,0.51171875,0.392578125
closed_loop,5.721774026751518,5.712073314934969,0.0728607177734375,0.547693854663521,0.455078125,0.55078125
all_heads,6.099357232451439,6.068927679210901,0.055755615234375,0.5185148427262902,0.14453125,0.466796875
closed_loop_current_wdl,5.724239692091942,5.712795026600361,0.0724029541015625,0.5482921465300024,0.478515625,0.490234375
