epoch,series,val_dfm_ce_loss,kind
77.5,exponential to floor,4.479861382347019,conditional projection
77.75,exponential to floor,4.478881999038868,conditional projection
78.0,exponential to floor,4.477917334349736,conditional projection
78.25,exponential to floor,4.476967167081504,conditional projection
78.5,exponential to floor,4.4760312793603205,conditional projection
78.75,exponential to floor,4.475109456586638,conditional projection
79.0,exponential to floor,4.474201487386011,conditional projection
79.25,exponential to floor,4.4733071635606265,conditional projection
79.5,exponential to floor,4.472426280041561,conditional projection
79.75,exponential to floor,4.471558634841763,conditional projection
80.0,exponential to floor,4.470704029009732,conditional projection
80.25,exponential to floor,4.469862266583902,conditional projection
80.5,exponential to floor,4.4690331545477076,conditional projection
80.75,exponential to floor,4.468216502785324,conditional projection
81.0,exponential to floor,4.4674121240380735,conditional projection
81.25,exponential to floor,4.466619833861487,conditional projection
81.5,exponential to floor,4.465839450583013,conditional projection
81.75,exponential to floor,4.465070795260354,conditional projection
82.0,exponential to floor,4.4643136916404424,conditional projection
82.25,exponential to floor,4.4635679661190215,conditional projection
82.5,exponential to floor,4.462833447700837,conditional projection
82.75,exponential to floor,4.462109967960432,conditional projection
83.0,exponential to floor,4.461397361003519,conditional projection
83.25,exponential to floor,4.460695463428952,conditional projection
83.5,exponential to floor,4.460004114291249,conditional projection
83.75,exponential to floor,4.4593231550636885,conditional projection
84.0,exponential to floor,4.458652429601963,conditional projection
84.25,exponential to floor,4.457991784108372,conditional projection
84.5,exponential to floor,4.457341067096557,conditional projection
84.75,exponential to floor,4.456700129356767,conditional projection
85.0,exponential to floor,4.456068823921641,conditional projection
85.25,exponential to floor,4.455447006032512,conditional projection
85.5,exponential to floor,4.454834533106211,conditional projection
85.75,exponential to floor,4.454231264702376,conditional projection
86.0,exponential to floor,4.453637062491244,conditional projection
86.25,exponential to floor,4.453051790221937,conditional projection
86.5,exponential to floor,4.452475313691217,conditional projection
86.75,exponential to floor,4.4519075007127125,conditional projection
87.0,exponential to floor,4.45134822108661,conditional projection
87.25,exponential to floor,4.450797346569797,conditional projection
87.5,exponential to floor,4.450254750846459,conditional projection
87.75,exponential to floor,4.449720309499112,conditional projection
88.0,exponential to floor,4.449193899980073,conditional projection
88.25,exponential to floor,4.448675401583365,conditional projection
88.5,exponential to floor,4.448164695417033,conditional projection
88.75,exponential to floor,4.447661664375884,conditional projection
89.0,exponential to floor,4.447166193114638,conditional projection
89.25,exponential to floor,4.446678168021474,conditional projection
89.5,exponential to floor,4.4461974771919825,conditional projection
89.75,exponential to floor,4.445724010403504,conditional projection
90.0,exponential to floor,4.445257659089855,conditional projection
90.25,exponential to floor,4.444798316316435,conditional projection
90.5,exponential to floor,4.444345876755706,conditional projection
90.75,exponential to floor,4.443900236663038,conditional projection
91.0,exponential to floor,4.443461293852923,conditional projection
91.25,exponential to floor,4.443028947675548,conditional projection
91.5,exponential to floor,4.442603098993705,conditional projection
91.75,exponential to floor,4.442183650160067,conditional projection
92.0,exponential to floor,4.441770504994799,conditional projection
92.25,exponential to floor,4.441363568763497,conditional projection
92.5,exponential to floor,4.440962748155468,conditional projection
92.75,exponential to floor,4.440567951262338,conditional projection
93.0,exponential to floor,4.440179087556972,conditional projection
93.25,exponential to floor,4.439796067872718,conditional projection
93.5,exponential to floor,4.439418804382962,conditional projection
93.75,exponential to floor,4.439047210580988,conditional projection
94.0,exponential to floor,4.438681201260141,conditional projection
94.25,exponential to floor,4.438320692494293,conditional projection
94.5,exponential to floor,4.437965601618594,conditional projection
94.75,exponential to floor,4.4376158472105205,conditional projection
95.0,exponential to floor,4.437271349071203,conditional projection
95.25,exponential to floor,4.436932028207037,conditional projection
