start_step,end_step,updates_spanned,global_devices,local_devices,per_device_batch,global_batch,process_batch,process_count,start_utc,end_utc
1,10722,10722,64,4,8,512,32,16,2026-05-06T14:02:09.984978+00:00,2026-05-06T15:32:02.871844+00:00
10723,267158,256436,64,4,128,8192,512,16,2026-05-06T15:51:19.314469+00:00,2026-05-13T16:55:34.973654+00:00
