step,timestamp_utc,dfm_ce_loss,jepa_positive_loss,jepa_sigreg_loss,jepa_norm_loss,accuracy,val_dfm_ce_loss,val_jepa_positive_loss,val_jepa_sigreg_loss
240000,2026-05-13T05:04:01.196123+00:00,3.410905122756958,0.29557445645332336,41.02469253540039,0.04731136932969093,0.25795790553092957,4.519133284687996,0.29691058583557606,42.29272902011871
241000,2026-05-13T05:32:33.087063+00:00,3.4509100914001465,0.2971210777759552,40.775203704833984,0.0462041012942791,0.2507883608341217,,,
242000,2026-05-13T05:59:06.908632+00:00,3.4213197231292725,0.284908652305603,39.92447280883789,0.044563617557287216,0.2594337463378906,,,
243000,2026-05-13T06:25:12.718940+00:00,3.4692835807800293,0.29302796721458435,41.39637756347656,0.04704134911298752,0.2517404854297638,,,
244000,2026-05-13T06:51:18.390338+00:00,3.4644150733947754,0.2904931604862213,40.613643646240234,0.04566929489374161,0.250995010137558,,,
245000,2026-05-13T07:17:39.654586+00:00,3.4585471153259277,0.2928798794746399,42.497982025146484,0.04574773460626602,0.2519181966781616,4.5165132731199265,0.2861016849055886,41.573750495910645
246000,2026-05-13T07:44:31.750471+00:00,3.457824230194092,0.2760959267616272,38.834346771240234,0.0459122434258461,0.2517026662826538,,,
247000,2026-05-13T08:10:34.546099+00:00,3.497415781021118,0.29487156867980957,41.24397277832031,0.047326136380434036,0.24868154525756836,,,
248000,2026-05-13T08:36:38.998750+00:00,3.357992649078369,0.2799120247364044,39.28263854980469,0.04587748646736145,0.26154813170433044,,,
249000,2026-05-13T09:02:45.947561+00:00,3.4465277194976807,0.2863401174545288,44.289310455322266,0.04625444859266281,0.24976511299610138,,,
250000,2026-05-13T09:29:12.163408+00:00,3.4380621910095215,0.2752397656440735,41.952362060546875,0.045368742197752,0.2524797320365906,4.508654922246933,0.28120675683021545,41.661253929138184
251000,2026-05-13T09:55:56.836280+00:00,3.442505359649658,0.27248743176460266,37.109073638916016,0.04428628087043762,0.253362238407135,,,
252000,2026-05-13T10:22:01.914763+00:00,3.3952860832214355,0.2771795988082886,41.73270034790039,0.046789005398750305,0.25899285078048706,,,
253000,2026-05-13T10:48:10.835269+00:00,3.4331674575805664,0.27607929706573486,38.79757308959961,0.045339785516262054,0.2572840452194214,,,
254000,2026-05-13T11:14:17.755831+00:00,3.399773597717285,0.2746744155883789,38.56962203979492,0.047774143517017365,0.2584117650985718,,,
255000,2026-05-13T11:40:38.988375+00:00,3.4618442058563232,0.2974344789981842,39.11001205444336,0.0510910302400589,0.24986356496810913,4.503007724881172,0.2880916967988014,43.63064444065094
256000,2026-05-13T12:08:10.042608+00:00,3.486488103866577,0.29052749276161194,34.916263580322266,0.04722722992300987,0.24726878106594086,,,
257000,2026-05-13T12:34:21.211287+00:00,3.3398966789245605,0.2790846526622772,38.20462417602539,0.04564637690782547,0.267802357673645,,,
258000,2026-05-13T13:00:30.300238+00:00,3.3632469177246094,0.28214022517204285,37.4766845703125,0.04681282490491867,0.2597222924232483,,,
259000,2026-05-13T13:26:38.469408+00:00,3.4824745655059814,0.3052796423435211,39.744808197021484,0.048849448561668396,0.25016915798187256,,,
260000,2026-05-13T13:52:59.283103+00:00,3.4744679927825928,0.30985957384109497,39.13284683227539,0.051161669194698334,0.2560735046863556,4.509257435798645,0.31102390214800835,41.80710780620575
261000,2026-05-13T14:19:08.211177+00:00,3.5009517669677734,0.3129878640174866,37.4718017578125,0.050846509635448456,0.24658069014549255,,,
262000,2026-05-13T14:44:04.183851+00:00,3.5015501976013184,0.33088797330856323,40.21920394897461,0.051731012761592865,0.24560169875621796,,,
263000,2026-05-13T15:09:00.207913+00:00,3.3696236610412598,0.32946252822875977,40.13375473022461,0.049915093928575516,0.2658125162124634,,,
264000,2026-05-13T15:33:57.523065+00:00,3.441232681274414,0.35014206171035767,41.0645637512207,0.05138268694281578,0.2524040639400482,,,
265000,2026-05-13T15:59:05.981146+00:00,3.467421531677246,0.40235549211502075,43.40994644165039,0.05520685017108917,0.2441430389881134,4.541200563311577,0.40806728787720203,44.29717409610748
266000,2026-05-13T16:26:26.185952+00:00,3.513890266418457,0.47444066405296326,42.603267669677734,0.06635452061891556,0.24462950229644775,,,
267000,2026-05-13T16:51:38.698725+00:00,3.888713836669922,1.6970782279968262,227.19285583496094,0.1745639592409134,0.20696130394935608,,,
267158,2026-05-13T16:55:34.973654+00:00,3.765463352203369,1.3277212381362915,188.7086181640625,0.14097441732883453,0.21938446164131165,,,
