step,target_sigreg
240000,41.02469253540039
241000,40.775203704833984
242000,39.92447280883789
243000,41.39637756347656
244000,40.613643646240234
245000,42.497982025146484
246000,38.834346771240234
247000,41.24397277832031
248000,39.28263854980469
249000,44.289310455322266
250000,41.952362060546875
251000,37.109073638916016
252000,41.73270034790039
253000,38.79757308959961
254000,38.56962203979492
255000,39.11001205444336
256000,34.916263580322266
257000,38.20462417602539
258000,37.4766845703125
259000,39.744808197021484
260000,39.13284683227539
261000,37.4718017578125
262000,40.21920394897461
263000,40.13375473022461
264000,41.0645637512207
265000,43.40994644165039
266000,42.603267669677734
267000,227.19285583496094
267158,188.7086181640625
