previous_step,next_logged_step,step_delta,wall_gap_seconds,wandb_runtime_delta_seconds,geometry_changed,periodic_checkpoint_hypothesis,inferred_replayed_updates,retry_included_in_compute_estimate,confidence,next_utc
10722,10723,1,1156.4426248073578,113.99252967599932,True,10000,722,True,medium,2026-05-06T15:51:19.314469+00:00
17171,17176,5,32229.13537478447,145.5795324259998,False,15000,0,False,low,2026-05-07T03:45:18.427007+00:00
73406,73407,1,20897.9925634861,5914.970589281002,False,70000,3406,True,high,2026-05-08T10:56:23.434522+00:00
74863,74864,1,9717.285557985306,8375.750291656994,False,70000,4863,True,high,2026-05-08T14:19:43.848380+00:00
88315,88316,1,7143.121054410934,5739.130039367999,False,85000,3315,True,high,2026-05-08T22:14:39.942786+00:00
101610,101611,1,4206.349929571152,2846.93466598299,False,100000,1610,True,high,2026-05-09T05:17:20.234702+00:00
176186,176187,1,16340.032214641571,2149.433938460017,False,175000,1186,True,confirmed,2026-05-10T18:58:12.405454+00:00
221432,221433,1,106602.14385938644,123.76997533702524,False,220000,0,False,low,2026-05-12T20:39:56.589207+00:00
